current_date,opening_balance,closing_balance,monthly_realized_pnl,monthly_unrealized_pnl,ticker,status,shares_qty,bought_price,bought_date,current_price,current_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,cash_balance,total_portfolio_value,bought_value,tag
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,TORNTPOWER.NS,Held,197,234,1/31/2016,234,46098,0,0,,,585.4968834,977792.9913,46098,Nifty Next 50
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,JSWSTEEL.NS,Held,436,105.7050018,1/31/2016,105.7050018,46087.3808,0,0,,,585.4968834,977792.9913,46087.3808,Nifty 50
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,COFORGE.NS,Held,418,110.3399963,1/31/2016,110.3399963,46122.11847,0,0,,,585.4968834,977792.9913,46122.11847,Nifty Midcap 150
2/29/2016,,,,,TITAGARH.NS,Sold,309,163.5500031,12/31/2015,88.34999847,27300.14953,0,,-23236.80141,-45.97982463,,,,Other 500 Stocks
2/29/2016,,,,,AUROPHARMA.NS,Sold,55,834.25,1/31/2016,655.6500244,36060.75134,0,,-9822.998657,-21.40844778,,,,Nifty Next 50
2/29/2016,,,,,BALRAMCHIN.NS,Sold,519,88.94999695,1/31/2016,81.40000153,42246.60079,0,,-3918.447624,-8.487909704,,,,Nifty SmallCap 250
2/29/2016,,,,,GENUSPOWER.NS,Sold,807,57.20000076,1/31/2016,44,35508,0,,-10652.40062,-23.0769241,,,,Nifty SmallCap 250
2/29/2016,,,,,INTELLECT.NS,Sold,214,233.4404297,10/31/2015,152.2234039,32575.80844,0,,-17380.44351,-34.79132808,,,,Nifty SmallCap 250
2/29/2016,,,,,HFCL.NS,Sold,2215,20.85000038,1/31/2016,16.79999924,37211.99831,0,,-8970.752535,-19.42446557,,,,Nifty SmallCap 250
2/29/2016,,,,,SUNTV.NS,Sold,118,426.3999939,12/31/2015,320.7000122,37842.60144,0,,-12472.59784,-24.78892664,,,,Nifty Midcap 150
